# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00481384     2.346541e+01 -1.054442e-03 2.187466e+00 2.341335e+01 -1.165417e-03 2.184935e+00 5.206004e-02 1.109757e-04 2.531387e-03
0.0100321      2.069833e+01 -4.732758e-03 1.991633e+00 2.065792e+01 -5.006798e-03 1.984560e+00 4.041093e-02 2.740393e-04 7.073618e-03
0.01535        1.912104e+01 -1.700090e-03 1.604769e+00 1.908718e+01 -2.153914e-03 1.596708e+00 3.386409e-02 4.538236e-04 8.060449e-03
0.0207921      1.785410e+01 1.341747e-04 8.259255e-01 1.782429e+01 -3.570501e-04 8.180327e-01 2.981160e-02 4.912248e-04 7.892811e-03
0.0263738      1.683627e+01 1.027657e-03 -7.529091e-02 1.680885e+01 5.688224e-04 -8.292477e-02 2.741894e-02 4.588347e-04 7.633852e-03
0.0321319      1.597757e+01 5.759346e-04 -1.044142e+00 1.595120e+01 2.080072e-04 -1.051367e+00 2.636170e-02 3.679274e-04 7.224297e-03
0.0380695      1.531549e+01 -1.206595e-03 -2.082697e+00 1.528930e+01 -1.501795e-03 -2.089105e+00 2.619112e-02 2.952002e-04 6.407913e-03
0.0440925      1.482614e+01 -2.873470e-03 -2.991157e+00 1.479952e+01 -3.145662e-03 -2.996341e+00 2.662470e-02 2.721920e-04 5.184461e-03
0.0501868      1.447114e+01 -5.255537e-03 -3.695945e+00 1.444384e+01 -5.592433e-03 -3.699826e+00 2.730097e-02 3.368953e-04 3.880800e-03
0.0563527      1.421241e+01 -6.918249e-03 -4.188779e+00 1.418446e+01 -7.361398e-03 -4.191337e+00 2.794884e-02 4.431495e-04 2.558074e-03
0.0625936      1.402461e+01 -7.708574e-03 -4.497518e+00 1.399624e+01 -8.232111e-03 -4.498882e+00 2.837374e-02 5.235371e-04 1.364005e-03
0.0689058      1.388328e+01 -7.987518e-03 -4.674496e+00 1.385473e+01 -8.583701e-03 -4.674925e+00 2.855034e-02 5.961835e-04 4.292051e-04
0.075283       1.380205e+01 -8.366125e-03 -4.714145e+00 1.377358e+01 -8.981884e-03 -4.713919e+00 2.846410e-02 6.157592e-04 -2.254896e-04
0.0817324      1.375390e+01 -8.956409e-03 -4.682976e+00 1.372578e+01 -9.540138e-03 -4.682384e+00 2.811175e-02 5.837287e-04 -5.914284e-04
0.0882685      1.372612e+01 -9.731603e-03 -4.599912e+00 1.369860e+01 -1.026128e-02 -4.599181e+00 2.752075e-02 5.296720e-04 -7.312098e-04
0.0948794      1.371228e+01 -9.767074e-03 -4.494869e+00 1.368548e+01 -1.024762e-02 -4.494156e+00 2.680255e-02 4.805418e-04 -7.122852e-04
