# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00481384     -1.129876e+00 1.763738e+00 1.168759e+01 -1.128536e+00 1.762232e+00 1.166158e+01 -1.340155e-03 1.505603e-03 2.600955e-02
0.0100321      -1.030216e+00 1.496570e+00 1.031509e+01 -1.026605e+00 1.494805e+00 1.029473e+01 -3.610923e-03 1.765161e-03 2.036105e-02
0.01535        -8.332443e-01 1.323503e+00 9.531848e+00 -8.291331e-01 1.321729e+00 9.514796e+00 -4.111255e-03 1.773946e-03 1.705130e-02
0.0207921      -4.347831e-01 1.152552e+00 8.901579e+00 -4.307311e-01 1.150849e+00 8.886597e+00 -4.051952e-03 1.703173e-03 1.498187e-02
0.0263738      1.553091e-02 9.969067e-01 8.398884e+00 1.947104e-02 9.952951e-01 8.385132e+00 -3.940130e-03 1.611628e-03 1.375261e-02
0.0321319      4.917398e-01 8.561271e-01 7.980821e+00 4.954884e-01 8.546237e-01 7.967588e+00 -3.748575e-03 1.503389e-03 1.323312e-02
0.0380695      1.000503e+00 7.309071e-01 7.658665e+00 1.003854e+00 7.295405e-01 7.645531e+00 -3.350918e-03 1.366656e-03 1.313408e-02
0.0440925      1.447237e+00 6.302240e-01 7.424685e+00 1.449970e+00 6.290114e-01 7.411367e+00 -2.732523e-03 1.212648e-03 1.331726e-02
0.0501868      1.801278e+00 5.556013e-01 7.255102e+00 1.803349e+00 5.545423e-01 7.241492e+00 -2.071902e-03 1.058935e-03 1.360988e-02
0.0563527      2.054148e+00 5.043690e-01 7.125635e+00 2.055576e+00 5.034501e-01 7.111733e+00 -1.428142e-03 9.188925e-04 1.390213e-02
0.0625936      2.214429e+00 4.728311e-01 7.026641e+00 2.215263e+00 4.720336e-01 7.012553e+00 -8.347551e-04 7.974962e-04 1.408823e-02
0.0689058      2.306194e+00 4.550499e-01 6.950189e+00 2.306572e+00 4.543469e-01 6.936026e+00 -3.779874e-04 7.029794e-04 1.416318e-02
0.075283       2.324539e+00 4.513609e-01 6.905699e+00 2.324601e+00 4.507214e-01 6.891575e+00 -6.127023e-05 6.394517e-04 1.412386e-02
0.0817324      2.308967e+00 4.549864e-01 6.878745e+00 2.308873e+00 4.543862e-01 6.864774e+00 9.445813e-05 6.002186e-04 1.397126e-02
0.0882685      2.267695e+00 4.632784e-01 6.864697e+00 2.267553e+00 4.626988e-01 6.850996e+00 1.419489e-04 5.796068e-04 1.370081e-02
0.0948794      2.215608e+00 4.732979e-01 6.858428e+00 2.215494e+00 4.727253e-01 6.845062e+00 1.140717e-04 5.726237e-04 1.336663e-02
